index,CODE,COMM,SPEC
2321,2321,LEBBEUS ZEBRA,LEBBEUS ZEBRA
2330,2330,EUALUS SP.,EUALUS SP.
2331,2331,EUALUS MACILENTUS,EUALUS MACILENTUS
2332,2332,EUALUS FABRICII,EUALUS FABRICII
2333,2333,EUALUS GAIMARDII,EUALUS GAIMARDII
2361,2361,ACANTHEPHYRA SP.,ACANTHEPHYRA SP.
2362,2362,ACANTHEPHYRA PURPUREA,ACANTHEPHYRA PURPUREA
2363,2363,ACANTHEPHYRA EXEMIA,ACANTHEPHYRA EXEMIA
2369,2369,OPLOPHORUS SPINOSUS,OPLOPHORUS SPINOSUS
2400,2400,CRANGONIDAE   F.,CRANGONIDAE F.
2410,2410,ARGIS SP.,ARGIS SP.
2411,2411,ARGIS DENTATA,ARGIS DENTATA
2413,2413,SCLEROCRANGON SP.,SCLEROCRANGON SP.
2414,2414,SCLEROCRANGON BOREAS,SCLEROCRANGON BOREAS
2415,2415,PONTOPHILUS NORVEGICUS,PONTOPHILUS NORVEGICUS
2416,2416,CRANGON SP.,CRANGON SP.
2417,2417,CRANGON SEPTEMSPINOSA,CRANGON SEPTEMSPINOSA
2419,2419,SABINEA SARSI,SABINEA SARSI
2420,2420,SABINEA SP.,SABINEA SP.
2421,2421,SABINEA SEPTEMCARINATA,SABINEA SEPTEMCARINATA
2461,2461,SERGESTES SP.,SERGESTES SP.
2470,2470,ARISTEIDAE F,ARISTEIDAE F
